TotalExpInMonths,SalaryInLacs,Cluster
0.22201834862385322,0.011518324607329844,0
0.14954128440366973,0.005759162303664923,0
0.17339449541284405,0.00261780104712042,0
0.26238532110091745,0.007329842931937175,0
0.20917431192660552,0.0010471204188481683,0
0.1651376146788991,0.010471204188481678,0
0.22935779816513763,0.0,0
0.15229357798165138,0.015706806282722516,0
0.1908256880733945,0.01780104712041885,0
0.1706422018348624,0.0006282722513089008,0
0.24220183486238533,0.003141361256544503,0
0.1981651376146789,0.010910994764397908,0
0.26422018348623855,0.045026178010471214,0
0.1651376146788991,0.0,0
0.21834862385321102,0.010471204188481678,0
0.15412844036697249,0.0,0
0.1651376146788991,0.0015706806282722516,0
0.22018348623853212,0.0020942408376963357,0
0.15504587155963304,0.002303664921465969,0
0.28807339449541286,0.022513089005235604,0
0.1651376146788991,0.013089005235602096,0
0.1669724770642202,0.003141361256544503,0
0.27064220183486243,0.002303664921465969,0
0.16055045871559634,0.009947643979057593,0
0.48440366972477067,0.0041884816753926715,0
0.1761467889908257,0.01654450261780105,0
0.16605504587155964,0.007853403141361258,0
0.1981651376146789,0.010314136125654452,0
0.27522935779816515,0.04712041884816755,0
0.3302752293577982,0.008900523560209424,0
0.24220183486238533,0.007591623036649215,0
0.1963302752293578,0.007329842931937175,0
0.20275229357798166,0.00942408376963351,0
0.24220183486238533,0.015340314136125655,0
0.22018348623853212,0.009947643979057593,0
0.23119266055045873,0.005235602094240838,0
0.3192660550458716,0.026701570680628277,0
0.21467889908256882,0.0005235602094240841,0
0.1651376146788991,0.015706806282722516,0
0.1761467889908257,0.007329842931937175,0
0.16238532110091744,0.013403141361256548,0
0.1871559633027523,0.0034031413612565457,0
0.1761467889908257,0.006282722513089006,0
0.15412844036697249,0.026178010471204195,0
0.3522935779816514,0.03664921465968587,0
0.1889908256880734,0.037591623036649216,0
0.15412844036697249,0.013612565445026181,0
0.1669724770642202,0.0010471204188481683,0
0.1779816513761468,0.021989528795811522,0
0.3963302752293578,0.00554973821989529,0
0.22018348623853212,0.021989528795811522,0
0.1981651376146789,0.015392670157068062,0
0.1981651376146789,0.024083769633507855,0
0.19908256880733946,0.033507853403141365,0
0.19174311926605506,0.007591623036649215,0
0.163302752293578,0.0015706806282722516,0
0.26055045871559634,0.016753926701570686,0
0.1706422018348624,0.0036649214659685864,0
0.22018348623853212,0.0020942408376963357,0
0.26055045871559634,0.005759162303664923,0
0.1761467889908257,0.0041884816753926715,0
0.1577981651376147,0.007382198952879582,0
0.1651376146788991,0.011518324607329844,0
0.26422018348623855,0.0041884816753926715,0
0.1761467889908257,0.01392670157068063,0
0.25871559633027524,0.005759162303664923,0
0.26422018348623855,0.004712041884816755,0
0.1706422018348624,0.0010471204188481683,0
0.1596330275229358,0.0005235602094240841,0
0.1706422018348624,0.03141361256544503,0
0.1761467889908257,0.0010471204188481683,0
0.25321100917431194,0.002303664921465969,0
0.1669724770642202,0.01204188481675393,0
0.18990825688073396,0.008397905759162305,0
0.1761467889908257,0.026178010471204195,0
0.15412844036697249,0.017277486910994767,0
0.15412844036697249,0.007141361256544503,0
0.17889908256880735,0.00261780104712042,0
0.1761467889908257,0.052356020942408384,0
0.15137614678899083,0.006701570680628273,0
0.3522935779816514,0.0008691099476439796,0
0.1761467889908257,0.01884816753926702,0
0.3302752293577982,0.0,0
0.14954128440366973,0.008481675392670158,0
0.21559633027522937,1.0471204188481839e-05,0
0.21467889908256882,0.0015706806282722516,0
0.15321100917431194,0.02193717277486911,0
0.24036697247706423,0.0026701570680628273,0
0.22018348623853212,0.026178010471204195,0
0.1981651376146789,0.015759162303664927,0
0.24403669724770644,0.009005235602094241,0
0.16972477064220184,0.004816753926701571,0
0.20917431192660552,0.026178010471204195,0
0.27522935779816515,0.020942408376963352,0
0.15412844036697249,0.014136125654450262,0
0.27522935779816515,0.03664921465968587,0
0.1559633027522936,0.005591623036649215,0
0.1779816513761468,0.010471204188481678,0
0.3853211009174312,0.0,0
0.15412844036697249,0.0,0
0.18990825688073396,0.003853403141361256,0
0.15412844036697249,0.0041884816753926715,0
0.2669724770642202,0.026178010471204195,0
0.181651376146789,0.011518324607329844,0
0.22018348623853212,0.0,0
0.1761467889908257,0.03664921465968587,0
0.3651376146788991,0.010722513089005238,0
0.3651376146788991,0.007329842931937175,0
0.15412844036697249,0.011308900523560211,0
